scientificName,scientificNameAuthorship,vernacularName,family,class,sourceStatus,status,EPBCA_status,sourceKingdom,kingdom,speciesGroup,,sourceOrigin,higherGeography
Smilasterias tasmaniae ,O'Loughlin and O'Hara,Bruny Island Seastar,Asterinidae,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Taskiria mccubbini ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Taskiropsyche lacustris ,Neboiss,Caddis Fly (Lake Pedder),Trichoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Acanthiza pusilla archibaldi,Mathews,King Island Brown Thornbill,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Acanthornis magna greeniana,Schodde & Mason,King Island Scrubtit,Birds,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Aquila audax fleayi ,Latham,Wedge-tailed Eagle,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Brachionichthys hirsutus,Lacepede,Spotted Handfish,Fish,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Brachiopsilus ziebelli,Last & Gledhill,Ziebell's Handfish,Fish,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Carinascincus palfreymani,(Rawlinson),Pedra Branca Skink,Reptiles,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Galaxias fontanus ,Fulton,Swan Galaxias,Fish,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Galaxias johnstoni ,Scott,Clarence Galaxias,Fish,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Galaxias pedderensis,Frankenberg,Pedder Galaxias,Fish,Vertebrates,e,Endangered,EW,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Paragalaxias mesotes ,McDowall and Fulton,Arthurs Paragalaxias,Fish,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Pardalotus quadragintus ,Gould,Forty-spotted Pardalote,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Sarcophilus harrisii,(Thomas),Tasmanian Devil,Mammals,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Thymichthys politus,(Richardson),Red Handfish,Fish,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Tyto novaehollandiae castanops,(Gould),Masked Owl,Birds,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Zearaja maugeana,Last & Gledhill,Maugean Skate,Fish,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Lathamus discolor,Shaw ,Swift Parrot,Birds,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,br end,migratory breeding endemic Tasmania
Neophema chrysogaster,Latham,Orange-bellied Parrot,Birds,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,br end,migratory breeding endemic Tasmania
Chrysolarentia decisaria ,Walker,Tunbridge Looper Moth,Lepidoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,,
Haloniscus searlei ,Chilton,Salt Lake Slater,Isopoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,,
Accipiter novaehollandiae ,Gmelin,Grey Goshawk,Birds,Vertebrates,e,Endangered,,Fauna,Animalia,vertebrate,,,
Arctocephalus tropicalis,Gray,Subantarctic Fur Seal,Mammals,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,,
Caretta caretta ,Linnaeus,Loggerhead Turtle,Reptiles,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,,
Ceyx azureus diemenensis,(Gould),Tasmanian Azure Kingfisher,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,,
Diomedea exulans,Linnaeus,Wandering Albatross,Birds,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,,
Limnodynastes peroni,Dumeril & Bibron,Striped Marsh Frog,Amphibians,Vertebrates,e,Endangered,,Fauna,Animalia,vertebrate,,,
Mirounga leonina,Gray,Southern Elephant Seal,Mammals,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,,
Numenius madagascariensis,Linnaeus,Eastern Curlew,Birds,Vertebrates,e,Endangered,CR,Fauna,Animalia,vertebrate,,,
Pachyptila turtur subantarctica ,Kuhl,Southern Fairy Prion,Birds,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,,
Procellaria cinerea,Gmelin,Grey Petrel,Birds,Vertebrates,e,Endangered,,Fauna,Animalia,vertebrate,,,
Pseudomys novaehollandiae,Waterhouse,New Holland Mouse,Mammals,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,,
Pterodroma mollis ,Gould,Soft-plumaged Petrel,Birds,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,,
Sterna vittata bethunei ,Buller,Antarctic Tern,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,,
Sternula albifrons sinensis ,Gmelin,Little Tern,Birds,Vertebrates,e,Endangered,,Fauna,Animalia,vertebrate,,,
Thalassarche chrysostoma,Forster,Grey-headed Albatross,Birds,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,,
Thalassarche melanophris,(Temminck),Black-browed Albatross,Birds,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,,
Deyeuxia lawrencei,Vickery,lawrences bentgrass,Poaceae,Monocotyledonae,x,Presumed Extinct,EX,Flora,Plantae,vascular,,end,endemic Tasmania
Ozothamnus selaginoides,Sond. & F.Muell.,table mountain everlastingbush,Asteraceae,Dicotyledonae,x,Presumed Extinct,EX,Flora,Plantae,vascular,,end,endemic Tasmania
Senecio tasmanicus,I.Thomps.,tasmanian fireweed,Asteraceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,end,endemic Tasmania
Ballantinia antipoda,(F.Muell.) E.A.Shaw,southern shepherds purse,Brassicaceae,Dicotyledonae,x,Presumed Extinct,EN,Flora,Plantae,vascular,,,
Banksia integrifolia subsp. integrifolia,L.f.,coast banksia,Proteaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Botrychium australe,R.Br.,parsley fern,Ophioglossaceae,Pteridophyta,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Caladenia cardiochila,Tate,heartlip spider-orchid,Orchidaceae,Monocotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Chenopodium erosum,R.Br. ,papery goosefoot,Amaranthaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Coopernookia barbata,(R.Br.) Carolin,purple native-primrose,Goodeniaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Hibbertia obtusifolia,DC.,grey guineaflower,Dilleniaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Lepilaena australis,J.Drumm. ex Harv.,southern watermat,Potomogetonaceae,Monocotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Levenhookia dubia,Sond.,hairy stylewort,Stylidiaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Myriophyllum glomeratum,Schindl.,clustered watermilfoil,Haloragaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Podotheca angustifolia,(Labill.) Less.,sticky longheads,Asteraceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Prostanthera cuneata,Benth.,alpine mintbush,Lamiaceae,Dicotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Senecio georgianus,DC.,grey groundsel,Asteraceae,Dicotyledonae,x,Presumed Extinct,EX,Flora,Plantae,vascular,,,
Senecio macrocarpus,Belcher,largefruit fireweed,Asteraceae,Dicotyledonae,x,Presumed Extinct,VU,Flora,Plantae,vascular,,,
Thesium australe,R.Br.,southern toadflax,Santalaceae,Dicotyledonae,x,Presumed Extinct,VU,Flora,Plantae,vascular,,,
Thynninorchis huntiana,(F.Muell.) D.L.Jones & M.A.Clem.,elbow orchid,Orchidaceae,Monocotyledonae,x,Presumed Extinct,,Flora,Plantae,vascular,,,
Punctelia subflava,(Taylor) Elix & J.Johnst.,,Parmeliaceae,Lichen,x,Presumed Extinct,,Flora,Plantae,non-vascular,,,
Veronica ciliolata subsp. fiordensis,(Ashwin) Meudt,ben lomond cushionplant,Plantaginaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,t,Tasmania
Hypotrachyna laevigata,(Sm.) Hale,,Parmeliaceae,Lichen,v,Vulnerable,,Flora,Plantae,non-vascular,,t,Tasmania
Acacia axillaris,Benth.,midlands wattle,Fabaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Boronia gunnii,Hook.f.,river boronia,Rutaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Boronia hippopala,Duretto,velvet boronia,Rutaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Caladenia caudata,Nicholls,tailed spider-orchid,Orchidaceae,Monocotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Callitris oblonga subsp. oblonga,Rich.,south esk pine,Cupressaceae,Gymnospermae,v,Vulnerable,EN,Flora,Plantae,vascular,,end,endemic Tasmania
Conospermum hookeri,(Meisn.) E.M.Benn.,tasmanian smokebush,Proteaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Epacris graniticola,Crowden,granite heath,Ericaceae,Dicotyledonae,v,Vulnerable,CR,Flora,Plantae,vascular,,end,endemic Tasmania
Epacris virgata,Hook.f.,pretty heath,Ericaceae,Dicotyledonae,v,Vulnerable,EN (Beaconsfield only),Flora,Plantae,vascular,,end,endemic Tasmania
Euphrasia phragmostoma,W.R.Barker,hairy cliff-eyebright,Orobanchaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Limonium australe var. baudinii,(Lincz.) A.M.Gray,tasmanian sea-lavender,Plumbaginaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Ozothamnus reflexifolius,K.Leeson & Rozefelds,reflexed everlastingbush,Asteraceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Pherosphaera hookeriana,W.Archer bis,drooping pine,Podocarpaceae,Gymnospermae,v,Vulnerable,,Flora,Plantae,vascular,,end,endemic Tasmania
Pomaderris pilifera subsp. talpicutica,A.M.Gray & M.Wapstra,moleskin dogwood,Rhamnaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Poranthera petalifera,(Orchard & J.B.Davies) Halford & R.J.F.Hend.,mountain poranthera,Phyllanthaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Prasophyllum amoenum,D.L.Jones,dainty leek-orchid,Orchidaceae,Monocotyledonae,v,Vulnerable,EN,Flora,Plantae,vascular,,end,endemic Tasmania
Prasophyllum apoxychilum,D.L.Jones,tapered leek-orchid,Orchidaceae,Monocotyledonae,v,Vulnerable,EN,Flora,Plantae,vascular,,end,endemic Tasmania
Pterostylis pratensis,D.L.Jones,liawenee greenhood,Orchidaceae,Monocotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Pterostylis ziegeleri,D.L.Jones,grassland greenhood,Orchidaceae,Monocotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Spyridium lawrencei,(Hook.f.) Benth.,small-leaf dustymiller,Rhamnaceae,Dicotyledonae,v,Vulnerable,EN,Flora,Plantae,vascular,,end,endemic Tasmania
Spyridium obcordatum,(Hook.f.) W.M.Curtis,creeping dustymiller,Rhamnaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Stenanthemum pimeleoides,(Hook.f.) Benth.,propellor plant,Rhamnaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Veronica novae-hollandiae,Poir.,coast speedwell,Plantaginaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,end,endemic Tasmania
Xanthorrhoea arenaria,D.J.Bedford,sand grasstree,Xanthorrhoeaceae,Monocotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Xanthorrhoea bracteata,R.Br.,shiny grasstree,Xanthorrhoeaceae,Monocotyledonae,v,Vulnerable,EN,Flora,Plantae,vascular,,end,endemic Tasmania
Xanthoparmelia jarmaniae,Elix & Kantvilas,,Parmeliaceae,Lichen,v,Vulnerable,,Flora,Plantae,non-vascular,,end,endemic Tasmania
Corybas dienemus,D.L.Jones,windswept helmet-orchid,Orchidaceae,Monocotyledonae,v,Vulnerable,CR,Flora,Plantae,vascular,,eMI,endemic Macquarie Island
Acrotriche cordata,(Labill.) R.Br.,coast groundberry,Ericaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Anogramma leptophylla,(L.) Link,annual fern,Adiantaceae,Pteridophyta,v,Vulnerable,,Flora,Plantae,vascular,,,
Argyrotegium nitidulum,(Hook.f.) J.M.Ward & Breitw.,shining cottonleaf,Asteraceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,,
Asplenium trichomanes subsp. trichomanes,L.,dolerite spleenwort,Aspleniaceae,Pteridophyta,v,Vulnerable,,Flora,Plantae,vascular,,,
Atriplex suberecta,I.Verd.,sprawling saltbush,Amaranthaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Bedfordia arborescens,Hochr.,tree blanketleaf,Asteraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Blechnum cartilagineum,Sw.,gristle fern,Blechnaceae,Pteridophyta,v,Vulnerable,,Flora,Plantae,vascular,,,
Brachyscome rigidula,(DC.) G.L.Davis,cutleaf daisy,Asteraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Caladenia patersonii,R.Br.,patersons spider-orchid,Orchidaceae,Monocotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Desmodium gunnii,Benth. ex Hook.f.,southern ticktrefoil,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Eryngium ovinum,A.Cunn.,blue devil,Apiaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Glycine latrobeana,(Meisn.) Benth.,clover glycine,Fabaceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,,
Glycine microphylla,(Benth.) Tindale,small-leaf glycine,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Hakea ulicina,R.Br.,furze needlebush,Proteaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Haloragis aspera,Lindl.,rough raspwort,Haloragaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Hibbertia calycina,(DC.) N.A.Wakef.,lesser guineaflower,Dilleniaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Isoetopsis graminifolia,Turcz.,grass cushion,Asteraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Isopogon ceratophyllus,R.Br.,horny conebush,Proteaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Lobelia pratioides,Benth.,poison lobelia,Campanulaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Lythrum salicaria,L.,purple loosestrife,Lythraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Mirbelia oxylobioides,F.Muell.,sandstone bushpea,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Myoporum parvifolium,R.Br.,creeping boobialla,Scrophulariaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Myriophyllum integrifolium,(Hook.f.) Hook.f.,tiny watermilfoil,Haloragaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Persicaria decipiens,(R.Br.) K.L.Wilson,slender waterpepper,Polygonaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Phyllangium divergens,(Hook.f.) Dunlop,wiry mitrewort,Loganiaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Pomaderris elachophylla,F.Muell.,small-leaf dogwood,Rhamnaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Prostanthera rotundifolia,R.Br.,roundleaf mintbush,Lamiaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Pterostylis squamata,R.Br.,ruddy greenhood,Orchidaceae,Monocotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Pultenaea humilis,Benth. ex Hook.f.,dwarf bushpea,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Pultenaea mollis,Lindl.,soft bushpea,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Pultenaea prostrata,Benth. ex Hook.f.,silky bushpea,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Pultenaea sericea,(Benth.) Corrick,chaffy bushpea,Fabaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Rumex bidens,R.Br.,mud dock,Polygonaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Scaevola albida,(Sm.) Druce,pale fanflower,Goodeniaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Scleranthus diander,R.Br.,tufted knawel,Caryophyllaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Scleranthus fasciculatus,(R.Br.) Hook.f.,spreading knawel,Caryophyllaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Senecio campylocarpus,I.Thomps.,bulging fireweed,Asteraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Senecio longipilus,I.Thomps.,longhair fireweed,Asteraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Sowerbaea juncea,Andrews,purple rushlily,Laxmanniaceae,Monocotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Stackhousia pulvinaris,F.Muell.,alpine candles,Celastraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Thryptomene micrantha,Hook.f.,ribbed heathmyrtle,Myrtaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Tmesipteris parva,N.A.Wakef.,small forkfern,Psilotaceae,Pteridophyta,v,Vulnerable,,Flora,Plantae,vascular,,,
Tricoryne elatior,R.Br.,yellow rushlily,Hemerocallidaceae,Monocotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Triptilodiscus pygmaeus,Turcz.,dwarf sunray,Asteraceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Velleia paradoxa,R.Br.,spur velleia,Goodeniaceae,Dicotyledonae,v,Vulnerable,,Flora,Plantae,vascular,,,
Xerochrysum palustre,(Flann) R.J.Bayer,swamp paperdaisy,Asteraceae,Dicotyledonae,v,Vulnerable,VU,Flora,Plantae,vascular,,,
Austromelanelixia piliferella,"(Essl.) Divakar, Crespo & Lumbsch ",,Parmeliaceae,Lichen,v,Vulnerable,,Flora,Plantae,non-vascular,,,
Xanthoparmelia mannumensis,(Elix) Elix & J.Johnst. ,,Parmeliaceae,Lichen,v,Vulnerable,,Flora,Plantae,non-vascular,,,
Brachyscome radicata,Hook.f.,spreading daisy,Asteraceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Crassula moschata,G.Forst.,musky stonecrop,Crassulaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Deschampsia gracillima,Kirk,slender hairgrass,Poaceae,Monocotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Lepidium flexicaule,Kirk,springy peppercress,Brassicaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Ranunculus acaulis,Banks & Sol. ex DC.,dune buttercup,Ranunculaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Uncinia elegans,(Kük.) Hamlin,handsome hooksedge,Cyperaceae,Monocotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Viola cunninghamii,Hook.f.,alpine violet,Violaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,t,Tasmania
Calycidium cuneatum,Stirt.,,Calycidiaceae,Lichen,r,Rare,,Flora,Plantae,non-vascular,,t,Tasmania
Calycidium polycarpum,(Colenso) Wedin,,Calycidiaceae,Lichen,r,Rare,,Flora,Plantae,non-vascular,,t,Tasmania
Parmeliopsis hyperopta,(Ach.) Arnold,,Parmeliaceae,Lichen,r,Rare,,Flora,Plantae,non-vascular,,t,Tasmania
Acacia pataczekii,D.I.Morris,wallys wattle,Fabaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Agrostis diemenica,D.I.Morris,flatleaf southern bent,Poaceae,Monocotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Allocasuarina crassa,L.A.S.Johnson,cape pillar sheoak,Casuarinaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Allocasuarina duncanii,L.A.S.Johnson & D.I.Morris,conical sheoak,Casuarinaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Bossiaea tasmanica,I.Thomps.,spiny bossia,Fabaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Centrolepis strigosa subsp. pulvinata,(R.Br.) D.A.Cooke,bassian bristlewort,Centrolepidaceae,Monocotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Centropappus brunonis,Hook.f.,tasmanian daisytree,Asteraceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Cyathodes platystoma,C.M.Weiller,tall cheeseberry,Ericaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Cyphanthera tasmanica,Miers,tasmanian rayflower,Solanaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Deyeuxia apsleyensis,D.I.Morris,apsley bentgrass,Poaceae,Monocotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Epacris curtisiae,Jarman,northwest heath,Ericaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Epacris moscaliana,Crowden,seepage heath,Ericaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Eucalyptus barberi,L.A.S.Johnson & Blaxell,barbers gum,Myrtaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Eucalyptus risdonii,Hook.f.,risdon peppermint,Myrtaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Euphrasia amphisysepala,W.R.Barker,shiny cliff-eyebright,Orobanchaceae,Dicotyledonae,r,Rare,VU,Flora,Plantae,vascular,,end,endemic Tasmania
Euphrasia collina subsp. deflexifolia,(Gand.) W.R.Barker,eastern eyebright,Orobanchaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Euphrasia collina subsp. gunnii,(Du Rietz) W.R.Barker ,gunns eyebright,Orobanchaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Euphrasia gibbsiae subsp. pulvinestris,W.R.Barker ,cushionplant eyebright,Orobanchaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Euphrasia gibbsiae subsp. wellingtonensis,W.R.Barker,mt wellington eyebright,Orobanchaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Geum talbotianum,W.M.Curtis,tasmanian snowrose,Rosaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Hovea tasmanica,I.Thomps. & J.H.Ross,rockfield purplepea,Fabaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Isoetes elatior,F.Muell. ex A.Braun,tall quillwort,Isoetaceae,Pteridophyta,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Isoetes humilior,F.Muell. ex A.Braun,veiled quillwort,Isoetaceae,Pteridophyta,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Isoetes sp. Maxwell River,(S.J.Jarman HO314082) Tas. Herbarium,limestone quillwort,Isoetaceae,Pteridophyta,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Lachnagrostis billardierei subsp. tenuiseta,(D.I.Morris) S.W.L.Jacobs,small-awn blowngrass,Poaceae,Monocotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Lasiopetalum micranthum,Hook.f.,tasmanian velvetbush,Malvaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Melaleuca pustulata,Hook.f.,warty paperbark,Myrtaceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
Micrantheum serpentinum,Orchard,western tridentbush,Picrodendraceae,Dicotyledonae,r,Rare,,Flora,Plantae,vascular,,end,endemic Tasmania
