sourceOrigin,Species,authority,vernacularName,family,sourceStatus,epbcaStatus,class
end,Acacia axillaris,Benth.,midlands wattle,Fabaceae,v,VU,vascular
end,Acacia pataczekii,D.I.Morris,wallys wattle,Fabaceae,r,,vascular
,Acacia siculiformis,A.Cunn. ex Benth.,dagger wattle,Fabaceae,r,,vascular
,Acacia ulicifolia,(Salisb.) Court,juniper wattle,Fabaceae,r,,vascular
,Acacia uncifolia,(J.M.Black) O'Leary,coast wirilda,Fabaceae,r,,vascular
,Acrotriche cordata,(Labill.) R.Br.,coast groundberry,Ericaceae,v,,vascular
,Agrostis australiensis,Mez,southern bent,Poaceae,r,,vascular
end,Agrostis diemenica,D.I.Morris,flatleaf southern bent,Poaceae,r,,vascular
end,Allocasuarina crassa,L.A.S.Johnson,cape pillar sheoak,Casuarinaceae,r,,vascular
end,Allocasuarina duncanii,L.A.S.Johnson & D.I.Morris,conical sheoak,Casuarinaceae,r,,vascular
,Alternanthera denticulata,R.Br.,lesser joyweed,Amaranthaceae,e,,vascular
?i#,Amphibromus fluitans,Kirk,floating swampgrass,Poaceae,,VU,vascular
,Amphibromus macrorhinus,S.W.L.Jacobs & L.Lapinpuro,longnose swampgrass,Poaceae,e,,vascular
,Amphibromus neesii,Steud.,southern swampgrass,Poaceae,r,,vascular
,Anogramma leptophylla,(L.) Link,annual fern,Adiantaceae,v,,vascular
,Aphelia gracilis,Sond.,slender fanwort,Centrolepidaceae,r,,vascular
,Aphelia pumilio,F.Muell. ex Sond.,dwarf fanwort,Centrolepidaceae,r,,vascular
,Argyrotegium fordianum,(M.Gray) J.M.Ward & Breitw.,soft cottonleaf,Asteraceae,r,,vascular
,Argyrotegium nitidulum,(Hook.f.) J.M.Ward & Breitw.,shining cottonleaf,Asteraceae,v,VU,vascular
,Argyrotegium poliochlorum,(N.G.Walsh) J.M.Ward & Breitw.,greygreen cottonleaf,Asteraceae,r,,vascular
,Asperula minima,Hook.f.,mossy woodruff,Rubiaceae,r,,vascular
,Asperula scoparia subsp. scoparia,Hook.f.,prickly woodruff,Rubiaceae,r,,vascular
,Asperula subsimplex,Hook.f.,water woodruff,Rubiaceae,r,,vascular
,Asplenium hookerianum,Colenso,maidenhair spleenwort,Aspleniaceae,e,VU,vascular
,Asplenium trichomanes subsp. trichomanes,L.,dolerite spleenwort,Aspleniaceae,v,,vascular
,Atriplex suberecta,I.Verd.,sprawling saltbush,Amaranthaceae,v,,vascular
,Australina pusilla subsp. muelleri,(Wedd.) Friis & Wilmot-Dear,shade nettle,Urticaceae,r,,vascular
,Australopyrum velutinum,(Nees) B.K.Simon,velvet wheatgrass,Poaceae,r,,vascular
,Austrostipa bigeniculata,(Hughes) S.W.L.Jacobs & J.Everett ,doublejointed speargrass,Poaceae,r,,vascular
,Austrostipa blackii,(C.E.Hubb.) S.W.L.Jacobs & J.Everett ,crested speargrass,Poaceae,r,,vascular
eMI,Azorella macquariensis,Orchard,macquarie cushions,Apiaceae,e,CR,vascular
,Ballantinia antipoda,(F.Muell.) E.A.Shaw,southern shepherds purse,Brassicaceae,x,EN,vascular
,Banksia integrifolia subsp. integrifolia,L.f.,coast banksia,Proteaceae,x,,vascular
,Banksia serrata,L.f.,saw banksia,Proteaceae,r,,vascular
end,Barbarea australis,Hook.f.,riverbed wintercress,Brassicaceae,e,EN,vascular
,Baumea articulata,(R.Br.) S.T.Blake,jointed twigsedge,Cyperaceae,r,,vascular
,Baumea gunnii,(Hook.f.) S.T.Blake,slender twigsedge,Cyperaceae,r,,vascular
,Bedfordia arborescens,Hochr.,tree blanketleaf,Asteraceae,v,,vascular
end,Bertya tasmanica subsp. tasmanica,(Sond. & F.Muell.) Müll.Arg.,tasmanian bertya,Euphorbiaceae,e,EN,vascular
,Blechnum cartilagineum,Sw.,gristle fern,Blechnaceae,v,,vascular
,Blechnum neohollandicum,Christenh.,prickly raspfern,Blechnaceae,e,,vascular
,Blechnum spinulosum,Poir.,small raspfern,Blechnaceae,e,,vascular
,Bolboschoenus caldwellii,(V.J.Cook) Soják ,sea clubsedge,Cyperaceae,r,,vascular
,Bolboschoenus medianus,(V.J.Cook) Soják ,marsh clubsedge,Cyperaceae,r,,vascular
end,Boronia gunnii,Hook.f.,river boronia,Rutaceae,v,VU,vascular
end,Boronia hemichiton,Duretto,mt arthur boronia,Rutaceae,e,VU,vascular
end,Boronia hippopala,Duretto,velvet boronia,Rutaceae,v,VU,vascular
,Bossiaea heterophylla,Vent.,variable bossia,Fabaceae,e,,vascular
end,Bossiaea tasmanica,I.Thomps.,spiny bossia,Fabaceae,r,,vascular
,Botrychium australe,R.Br.,parsley fern,Ophioglossaceae,x,,vascular
,Brachyloma depressum,(F.Muell.) Benth.,spreading heath,Ericaceae,r,,vascular
,Brachyscome perpusilla,(Steetz) J.M.Black,tiny daisy,Asteraceae,r,,vascular
t,Brachyscome radicata,Hook.f.,spreading daisy,Asteraceae,r,,vascular
,Brachyscome rigidula,(DC.) G.L.Davis,cutleaf daisy,Asteraceae,v,,vascular
,Brunonia australis,Sm. ex R.Br.,blue pincushion,Goodeniaceae,r,,vascular
,Caesia calliantha,R.J.F.Hend.,blue grasslily,Hemerocallidaceae,r,,vascular
end,Caladenia anthracina,D.L.Jones,blacktip spider-orchid,Orchidaceae,e,CR,vascular
,Caladenia aurantiaca,(R.S.Rogers) Rupp,orangetip fingers,Orchidaceae,e,,vascular
,Caladenia australis,G.W.Carr,southern spider-orchid,Orchidaceae,e,,vascular
,Caladenia brachyscapa,G.W.Carr,short spider-orchid,Orchidaceae,e,EX,vascular
end,Caladenia campbellii,D.L.Jones,thickstem fairy fingers,Orchidaceae,e,CR,vascular
,Caladenia cardiochila,Tate,heartlip spider-orchid,Orchidaceae,x,,vascular
end,Caladenia caudata,Nicholls,tailed spider-orchid,Orchidaceae,v,VU,vascular
,Caladenia congesta,R.Br.,blacktongue finger-orchid,Orchidaceae,e,,vascular
end,Caladenia dienema,D.L.Jones,windswept spider-orchid,Orchidaceae,e,EN,vascular
,Caladenia filamentosa,R.Br.,daddy longlegs,Orchidaceae,r,,vascular
end,Caladenia lindleyana,(Rchb.f.) M.A.Clem. & D.L.Jones,lindleys spider-orchid,Orchidaceae,e,CR,vascular
end,Caladenia pallida,Lindl.,rosy spider-orchid,Orchidaceae,e,CR,vascular
,Caladenia patersonii,R.Br.,patersons spider-orchid,Orchidaceae,v,,vascular
,Caladenia prolata,D.L.Jones,white fingers,Orchidaceae,e,,vascular
,Caladenia pusilla,W.M.Curtis,tiny fingers,Orchidaceae,r,,vascular
end,Caladenia saggicola,D.L.Jones,sagg spider-orchid,Orchidaceae,e,CR,vascular
end,Caladenia sylvicola,D.L.Jones,forest fingers,Orchidaceae,e,CR,vascular
end,Caladenia tonellii,D.L.Jones,robust fingers,Orchidaceae,e,CR,vascular
,Calandrinia granulifera,Benth.,pygmy purslane,Portulacaceae,r,,vascular
,Callitriche sonderi,Hegelm.,matted waterstarwort,Plantaginaceae,r,,vascular
,Callitriche umbonata,Hegelm.,winged waterstarwort,Plantaginaceae,r,,vascular
end,Callitris oblonga subsp. oblonga,Rich.,south esk pine,Cupressaceae,v,EN,vascular
,Calocephalus citreus,Less.,lemon beautyheads,Asteraceae,r,,vascular
,Calocephalus lacteus,Less.,milky beautyheads,Asteraceae,r,,vascular
,Calochilus campestris,R.Br.,copper beard-orchid,Orchidaceae,e,,vascular
,Calystegia marginata,R.Br. ,forest bindweed,Convolvulaceae,e,,vascular
,Calystegia sepium subsp. sepium,(L.) R.Br.,swamp bindweed,Convolvulaceae,r,,vascular
,Calystegia soldanella,(L.) Roem. & Schult.,sea bindweed,Convolvulaceae,r,,vascular
,Carex capillacea,Boott,yellowleaf sedge,Cyperaceae,r,,vascular
,Carex cephalotes,F.Muell.,snow sedge,Cyperaceae,r,,vascular
,Carex gunniana,Boott,mountain sedge,Cyperaceae,r,,vascular
,Carex hypandra,F.Muell. ex Benth.,dark fen sedge,Cyperaceae,r,,vascular
,Carex longebrachiata,Boeck.,drooping sedge,Cyperaceae,r,,vascular
,Cassinia rugata,N.G.Walsh,wrinkled dollybush,Asteraceae,e,VU,vascular
,Caustis pentandra,R.Br.,thick twistsedge,Cyperaceae,r,,vascular
,Centipeda cunninghamii,(DC.) A.Braun & Asch.,erect sneezeweed,Asteraceae,r,,vascular
end,Centrolepis pedderensis,W.M.Curtis,pedder bristlewort,Centrolepidaceae,e,EN,vascular
end,Centrolepis strigosa subsp. pulvinata,(R.Br.) D.A.Cooke,bassian bristlewort,Centrolepidaceae,r,,vascular
end,Centropappus brunonis,Hook.f.,tasmanian daisytree,Asteraceae,r,,vascular
,Cheilanthes distans,(R.Br.) Mett.,bristly rockfern,Adiantaceae,e,,vascular
,Chenopodium erosum,R.Br. ,papery goosefoot,Amaranthaceae,x,,vascular
,Chiloglottis trapeziformis,Fitzg.,broadlip bird-orchid,Orchidaceae,e,,vascular
,Chiloglottis valida,D.L.Jones,large bird-orchid,Orchidaceae,e,,vascular
,Chorizandra enodis,Nees,black bristlesedge,Cyperaceae,e,,vascular
,Chrysocephalum baxteri,(A.Cunn. ex DC.) A.Anderb.,fringed everlasting,Asteraceae,r,,vascular
,Colobanthus curtisiae,J.G.West,grassland cupflower,Caryophyllaceae,r,VU,vascular
,Colobanthus pulvinatus,F.Muell.,cushion cupflower,Caryophyllaceae,r,,vascular
,Comesperma defoliatum,F.Muell.,leafless milkwort,Polygalaceae,r,,vascular
end,Conospermum hookeri,(Meisn.) E.M.Benn.,tasmanian smokebush,Proteaceae,v,VU,vascular
,Coopernookia barbata,(R.Br.) Carolin,purple native-primrose,Goodeniaceae,x,,vascular
end,Corunastylis brachystachya,(Lindl.) D.L.Jones & M.A.Clem.,shortspike midge-orchid,Orchidaceae,e,EN,vascular
end,Corunastylis firthii,(L.Cady) D.L.Jones & M.A.Clem.,firths midge-orchid,Orchidaceae,e,CR,vascular
,Corunastylis morrisii,(Nicholls) D.L.Jones & M.A.Clem.,bearded midge-orchid,Orchidaceae,e,,vascular
,Corunastylis nuda,(Hook.f.) D.L.Jones & M.A.Clem.,tiny midge-orchid,Orchidaceae,r,,vascular
end,Corunastylis nudiscapa,(Hook.f.) D.L.Jones & M.A.Clem.,bare midge-orchid,Orchidaceae,e,,vascular
eMI,Corybas dienemus,D.L.Jones,windswept helmet-orchid,Orchidaceae,v,CR,vascular
,Corybas fordhamii,(Rupp) Rupp,swamp pelican-orchid,Orchidaceae,e,,vascular
eMI,Corybas sulcatus,(M.A.Clem. & D.L.Jones) G.N.Backh.,grooved helmet-orchid,Orchidaceae,e,CR,vascular
,Cotula vulgaris var. australasica,J.H.Willis,slender buttons,Asteraceae,r,,vascular
end,Craspedia preminghana,Rozefelds,preminghana billybuttons,Asteraceae,e,EN,vascular
t,Crassula moschata,G.Forst.,musky stonecrop,Crassulaceae,r,,vascular
,Cryptandra amara,Sm.,pretty pearlflower,Rhamnaceae,e,,vascular
end,Cryptandra exilis,D.I.Morris,slender pearlflower,Rhamnaceae,e,,vascular
,Cryptostylis leptochila,F.Muell. ex Benth.,small tongue-orchid,Orchidaceae,e,,vascular
,Cullen microcephalum,(Rchb. ex Kunze) J.W.Grimes,dusky scurfpea ,Fabaceae,r,,vascular
,Cuscuta tasmanica,Engelm.,golden dodder,Convolvulaceae,r,,vascular
,Cyathea cunninghamii,Hook.f.,slender treefern,Cyatheaceae,e,,vascular
,Cyathea x marcescens,N.A.Wakef.,skirted treefern,Cyatheaceae,e,,vascular
end,Cyathodes platystoma,C.M.Weiller,tall cheeseberry,Ericaceae,r,,vascular
end,Cyphanthera tasmanica,Miers,tasmanian rayflower,Solanaceae,r,,vascular
,Cyrtostylis robusta,D.L.Jones & M.A.Clem.,large gnat-orchid,Orchidaceae,r,,vascular
,Damasonium minus,(R.Br.) Buchenau,starfruit,Alismataceae,r,,vascular
t,Deschampsia gracillima,Kirk,slender hairgrass,Poaceae,r,,vascular
,Desmodium gunnii,Benth. ex Hook.f.,southern ticktrefoil,Fabaceae,v,,vascular
,Desmodium varians,(Labill.) G.Don,slender ticktrefoil,Fabaceae,e,,vascular
end,Deyeuxia apsleyensis,D.I.Morris,apsley bentgrass,Poaceae,r,,vascular
,Deyeuxia brachyathera,(Stapf) Vickery,short bentgrass,Poaceae,r,,vascular
,Deyeuxia decipiens,(R.Br.) Vickery,trickery bentgrass,Poaceae,r,,vascular
end,Deyeuxia lawrencei,Vickery,lawrences bentgrass,Poaceae,x,EX,vascular
,Deyeuxia minor,F.Muell. ex Benth.,small bentgrass,Poaceae,r,,vascular
,Dianella amoena,G.W.Carr & P.F.Horsfall,grassland flaxlily,Hemerocallidaceae,r,EN,vascular
,Discaria pubescens,(Brongn.) Druce,spiky anchorplant,Rhamnaceae,e,,vascular
end,Diuris lanceolata,Lindl.,large golden moths,Orchidaceae,e,EN,vascular
,Diuris palustris,Lindl.,swamp doubletail,Orchidaceae,e,,vascular
,Drosera glanduligera,Lehm.,scarlet sundew,Droseraceae,r,,vascular
,Dryopoa dives,(F.Muell.) Vickery,tasmanian giant mountaingrass,Poaceae,r,,vascular
,Elaeocarpus reticulatus,Sm.,blueberry ash,Elaeocarpaceae,r,,vascular
end,Epacris apsleyensis,Crowden,apsley heath,Ericaceae,e,EN,vascular
end,Epacris barbata,Melville,bearded heath,Ericaceae,e,EN,vascular
end,Epacris curtisiae,Jarman,northwest heath,Ericaceae,r,,vascular
end,Epacris exserta,R.Br.,south esk heath,Ericaceae,e,EN,vascular
end,Epacris glabella,Jarman,smooth heath,Ericaceae,e,EN,vascular
end,Epacris grandis,Crowden,tall heath,Ericaceae,e,EN,vascular
end,Epacris graniticola,Crowden,granite heath,Ericaceae,v,CR,vascular
end,Epacris limbata,K.J.Williams & F.Duncan,bordered heath,Ericaceae,e,CR,vascular
end,Epacris moscaliana,Crowden,seepage heath,Ericaceae,r,,vascular
end,Epacris stuartii,Stapf,southport heath,Ericaceae,e,CR,vascular
end,Epacris virgata,Hook.f.,pretty heath,Ericaceae,v,EN (Beaconsfield only),vascular
,Epilobium willisii,P.H.Raven & Engelhorn,carpet willowherb,Onagraceae,r,,vascular
,Eryngium ovinum,A.Cunn.,blue devil,Apiaceae,v,,vascular
end,Eucalyptus barberi,L.A.S.Johnson & Blaxell,barbers gum,Myrtaceae,r,,vascular
,Eucalyptus globulus subsp. pseudoglobulus,(Naudin ex Maiden) J.B.Kirkp.,gippsland blue gum,Myrtaceae,r,,vascular
end,Eucalyptus gunnii subsp. divaricata,(McAulay & Brett) B.M.Potts,miena cider gum,Myrtaceae,e,EN,vascular
end,Eucalyptus morrisbyi,Brett,morrisbys gum,Myrtaceae,e,EN,vascular
,Eucalyptus perriniana,F.Muell. ex Rodway,spinning gum,Myrtaceae,r,,vascular
,Eucalyptus radiata subsp. radiata,Sieber ex DC.,forth river peppermint,Myrtaceae,r,,vascular
end,Eucalyptus risdonii,Hook.f.,risdon peppermint,Myrtaceae,r,,vascular
end,Euphrasia amphisysepala,W.R.Barker,shiny cliff-eyebright,Orobanchaceae,r,VU,vascular
end,Euphrasia amplidens,W.R.Barker,pieman eyebright,Orobanchaceae,e,,vascular
end,Euphrasia collina subsp. deflexifolia,(Gand.) W.R.Barker,eastern eyebright,Orobanchaceae,r,,vascular
end,Euphrasia collina subsp. gunnii,(Du Rietz) W.R.Barker ,gunns eyebright,Orobanchaceae,r,,vascular
,Euphrasia collina subsp. tetragona,(R.Br.) W.R.Barker ,northcoast eyebright,Orobanchaceae,e,,vascular
end,Euphrasia fragosa,W.R.Barker,shy eyebright,Orobanchaceae,e,CR,vascular
end,Euphrasia gibbsiae subsp. psilantherea,(F.Muell.) W.R.Barker,swamp eyebright,Orobanchaceae,e,CR,vascular
end,Euphrasia gibbsiae subsp. pulvinestris,W.R.Barker ,cushionplant eyebright,Orobanchaceae,r,,vascular
end,Euphrasia gibbsiae subsp. wellingtonensis,W.R.Barker,mt wellington eyebright,Orobanchaceae,r,,vascular
end,Euphrasia phragmostoma,W.R.Barker,hairy cliff-eyebright,Orobanchaceae,v,VU,vascular
,Euphrasia scabra,R.Br.,yellow eyebright,Orobanchaceae,e,,vascular
end,Euphrasia semipicta,W.R.Barker,peninsula eyebright,Orobanchaceae,e,EN,vascular
end,Euphrasia sp. Bivouac Bay,(W.R.Barker 7626 et al.) W.R. Barker,masked cliff-eyebright,Orobanchaceae,e,EN,vascular
,Eutaxia microphylla,(R.Br.) C.H.Wright & Dewar,spiny bushpea,Fabaceae,r,,vascular
,Frankenia pauciflora var. gunnii,Summerh.,southern seaheath,Frankeniaceae,r,,vascular
tmi,Galium antarcticum,Hook.f.,subantarctic bedstraw,Rubiaceae,e,CR,vascular
r,Geococcus pusillus,J.Drumm. ex Harv.,earth cress,Brassicaceae,e,,vascular
end,Geum talbotianum,W.M.Curtis,tasmanian snowrose,Rosaceae,r,,vascular
,Glossostigma elatinoides,(Benth.) Benth. ex Hook.f.,small mudmat,Phrymaceae,r,,vascular
,Glycine latrobeana,(Meisn.) Benth.,clover glycine,Fabaceae,v,VU,vascular
,Glycine microphylla,(Benth.) Tindale,small-leaf glycine,Fabaceae,v,,vascular
,Gompholobium ecostatum,Kuchel,dwarf wedgepea,Fabaceae,e,,vascular
,Goodenia geniculata,R.Br.,bent native-primrose,Goodeniaceae,e,,vascular
,Gratiola pubescens,R.Br.,hairy brooklime,Plantaginaceae,r,,vascular
,Gynatrix pulchella,(Willd.) Alef.,fragrant hempbush,Malvaceae,r,,vascular
,Gyrostemon thesioides,(Hook.f.) A.S.George,broom wheelfruit,Gyrostemonaceae,r,,vascular
,Hackelia latifolia,(R.Br.) Dimon & M.A.M.Renner,forest houndstongue,Boraginaceae,r,,vascular
,Hakea ulicina,R.Br.,furze needlebush,Proteaceae,v,,vascular
,Haloragis aspera,Lindl.,rough raspwort,Haloragaceae,v,,vascular
,Haloragis heterophylla,Brongn.,variable raspwort,Haloragaceae,r,,vascular
,Haloragis myriocarpa,Orchard,prickly raspwort,Haloragaceae,r,,vascular
,Hardenbergia violacea,(Schneev.) Stearn,purple coralpea,Fabaceae,e,,vascular
,Hedycarya angustifolia,A.Cunn.,australian mulberry,Monimiaceae,r,,vascular
end,Hibbertia basaltica,A.M.Buchanan & Schah.,basalt guineaflower,Dilleniaceae,e,EN,vascular
,Hibbertia calycina,(DC.) N.A.Wakef.,lesser guineaflower,Dilleniaceae,v,,vascular
,Hibbertia obtusifolia,DC.,grey guineaflower,Dilleniaceae,x,,vascular
,Hibbertia rufa,N.A.Wakef.,brown guineaflower,Dilleniaceae,r,,vascular
,Hibbertia virgata,R.Br. ex DC.,twiggy guineaflower,Dilleniaceae,r,,vascular
,Hovea corrickiae,J.H.Ross,glossy purplepea,Fabaceae,r,,vascular
,Hovea montana,(Hook.f.) J.H.Ross,mountain purplepea,Fabaceae,r,,vascular
end,Hovea tasmanica,I.Thomps. & J.H.Ross,rockfield purplepea,Fabaceae,r,,vascular
,Hyalosperma demissum,(A.Gray) Paul G.Wilson,moss sunray,Asteraceae,e,,vascular
,Hydrocotyle comocarpa,F.Muell.,fringefruit pennywort,Araliaceae,r,,vascular
,Hydrocotyle laxiflora,DC.,stinking pennywort,Araliaceae,e,,vascular
,Hydrorchis orbicularis,(R.S.Rogers) D.L.Jones & M.A.Clem.,swamp onion-orchid,Orchidaceae,r,,vascular
t,Hypolepis distans,Hook.,scrambling groundfern,Dennstaedtiaceae,e,EN,vascular
,Hypolepis muelleri,N.A.Wakef.,harsh groundfern,Dennstaedtiaceae,r,,vascular
,Isoetes drummondii subsp. drummondii,A.Braun,plain quillwort,Isoetaceae,r,,vascular
end,Isoetes elatior,F.Muell. ex A.Braun,tall quillwort,Isoetaceae,r,,vascular
end,Isoetes humilior,F.Muell. ex A.Braun,veiled quillwort,Isoetaceae,r,,vascular
end,Isoetes sp. Maxwell River,(S.J.Jarman HO314082) Tas. Herbarium,limestone quillwort,Isoetaceae,r,,vascular
,Isoetopsis graminifolia,Turcz.,grass cushion,Asteraceae,v,,vascular
,Isolepis habra,(Edgar) Soják ,wispy clubsedge,Cyperaceae,r,,vascular
,Isolepis stellata,(C.B.Clarke) K.L.Wilson,star clubsedge,Cyperaceae,r,,vascular
,Isopogon ceratophyllus,R.Br.,horny conebush,Proteaceae,v,,vascular
,Juncus fockei,Buchenau,slender jointleaf rush,Juncaceae,r,,vascular
,Juncus prismatocarpus,R.Br.,branching rush,Juncaceae,r,,vascular
,Juncus vaginatus,R.Br.,clustered rush,Juncaceae,r,,vascular
end,Lachnagrostis billardierei subsp. tenuiseta,(D.I.Morris) S.W.L.Jacobs,small-awn blowngrass,Poaceae,r,,vascular
,Lachnagrostis punicea subsp. filifolia,(Vickery) S.W.L.Jacobs,narrowleaf blowngrass,Poaceae,r,,vascular
,Lachnagrostis punicea subsp. punicea,(A.J.Br. & N.G.Walsh) S.W.L.Jacobs,bristle blowngrass,Poaceae,r,,vascular
,Lachnagrostis robusta,(Vickery) S.W.L.Jacobs,tall blowngrass,Poaceae,r,,vascular
,Lasiopetalum baueri,Steetz,slender velvetbush,Malvaceae,r,,vascular
,Lasiopetalum discolor,Hook.,coast velvetbush,Malvaceae,r,,vascular
end,Lasiopetalum micranthum,Hook.f.,tasmanian velvetbush,Malvaceae,r,,vascular
t,Lepidium flexicaule,Kirk,springy peppercress,Brassicaceae,r,,vascular
,Lepidium hyssopifolium,Desv.,soft peppercress,Brassicaceae,e,EN,vascular
,Lepidosperma forsythii,A.A.Hamilton,stout rapiersedge,Cyperaceae,r,,vascular
,Lepidosperma tortuosum,F.Muell.,twisting rapiersedge,Cyperaceae,r,,vascular
,Lepidosperma viscidum,R.Br.,sticky swordsedge,Cyperaceae,r,,vascular
,Lepilaena australis,J.Drumm. ex Harv.,southern watermat,Potomogetonaceae,x,,vascular
,Lepilaena marina,E.L.Robertson,sea watermat,Potomogetonaceae,r,,vascular
,Lepilaena patentifolia,E.L.Robertson,spreading watermat,Potomogetonaceae,r,,vascular
,Lepilaena preissii,(Lehm.) F.Muell.,slender watermat,Potomogetonaceae,r,,vascular
,Leptorhynchos elongatus,DC.,lanky buttons,Asteraceae,e,,vascular
,Leucochrysum albicans subsp. tricolor ,(DC.) N.G.Walsh,grassland paperdaisy,Asteraceae,e,EN,vascular
,Leucopogon affinis,R.Br.,lanceleaf beardheath,Ericaceae,r,,vascular
,Leucopogon esquamatus,R.Br.,swamp beardheath,Ericaceae,r,,vascular
,Leucopogon virgatus var. brevifolius,Benth.,shortleaf beardheath,Ericaceae,r,,vascular
,Levenhookia dubia,Sond.,hairy stylewort,Stylidiaceae,x,,vascular
,Limonium australe var. australe,(R.Br.) Kuntze,yellow sea-lavender,Plumbaginaceae,r,,vascular
end,Limonium australe var. baudinii,(Lincz.) A.M.Gray,tasmanian sea-lavender,Plumbaginaceae,v,VU,vascular
,Liparophyllum exaltatum,(Sol. ex Sims) Tippery & Les,erect marshwort,Menyanthaceae,r,,vascular
,Lobelia pratioides,Benth.,poison lobelia,Campanulaceae,v,,vascular
